代號,名稱,市場,,,,,,,,,,,,,PER,PBR,1個月走勢圖,3個月走勢圖,1年走勢圖,3年走勢圖,10年走勢圖
1590,亞德客-KY,市,,,,,,,,,,,,,21.4,3.45,,,,,
1597,直得,市,,,,,,,,,,,,,132,3.32,,,,,
1598,岱宇,市,,,,,,,,,,,,,,1.07,,,,,
1603,華電,市,,,,,,,,,,,,,12.6,0.86,,,,,
1604,聲寶,市,,,,,,,,,,,,,13.8,1.23,,,,,
1605,華新,市,,,,,,,,,,,,,29.2,0.73,,,,,
1608,華榮,市,,,,,,,,,,,,,13.6,1.55,,,,,
1609,大亞,市,,,,,,,,,,,,,20.2,2.21,,,,,
1611,中電,市,,,,,,,,,,,,,32.6,1.28,,,,,
1612,宏泰,市,,,,,,,,,,,,,14.5,1.51,,,,,
1614,三洋電,市,,,,,,,,,,,,,56.3,1.86,,,,,
1615,大山,市,,,,,,,,,,,,,15.2,3.22,,,,,
1616,億泰,市,,,,,,,,,,,,,20.1,2.15,,,,,
1617,榮星,市,,,,,,,,,,,,,,1.34,,,,,
1618,合機,市,,,,,,,,,,,,,13,1.45,,,,,
1626,艾美特-KY,市,,,,,,,,,,,,,,0.72,,,,,
1702,南僑,市,,,,,,,,,,,,,11.2,1.11,,,,,
1707,葡萄王,市,,,,,,,,,,,,,15.8,2.32,,,,,
1708,東鹼,市,,,,,,,,,,,,,11.7,1.5,,,,,
1709,和益,市,,,,,,,,,,,,,14.9,1.11,,,,,
1710,東聯,市,,,,,,,,,,,,,,1.14,,,,,
1711,永光,市,,,,,,,,,,,,,64.9,1.44,,,,,
1712,興農,市,,,,,,,,,,,,,18.7,2.33,,,,,
1713,國化,市,,,,,,,,,,,,,14.2,2.2,,,,,
1714,和桐,市,,,,,,,,,,,,,18.6,0.67,,,,,
1717,長興,市,,,,,,,,,,,,,19.8,1.27,,,,,
1718,中纖,市,,,,,,,,,,,,,,0.5,,,,,
1720,生達,市,,,,,,,,,,,,,13.5,1.94,,,,,
1721,三晃,市,,,,,,,,,,,,,,1.69,,,,,
1722,台肥,市,,,,,,,,,,,,,31.4,0.98,,,,,
1723,中碳,市,,,,,,,,,,,,,17.8,2.76,,,,,
1725,元禎,市,,,,,,,,,,,,,23,1.35,,,,,
1726,永記,市,,,,,,,,,,,,,14.9,1.24,,,,,
1727,中華化,市,,,,,,,,,,,,,88.4,2.05,,,,,
1730,花仙子,市,,,,,,,,,,,,,14.2,1.79,,,,,
1731,美吾華,市,,,,,,,,,,,,,17.8,1.5,,,,,
1732,毛寶,市,,,,,,,,,,,,,148,2.43,,,,,
1733,五鼎,市,,,,,,,,,,,,,27.3,1.61,,,,,
1734,杏輝,市,,,,,,,,,,,,,16.7,1.75,,,,,
1735,日勝化,市,,,,,,,,,,,,,20.3,1.25,,,,,
1736,喬山,市,,,,,,,,,,,,,43.9,5.45,,,,,
1737,臺鹽,市,,,,,,,,,,,,,22,0.99,,,,,
1752,南光,市,,,,,,,,,,,,,35.8,1.88,,,,,
1760,寶齡富錦,市,,,,,,,,,,,,,61.1,3.96,,,,,
1762,中化生,市,,,,,,,,,,,,,29.8,0.87,,,,,
1773,勝一,市,,,,,,,,,,,,,24,4.52,,,,,
1776,展宇,市,,,,,,,,,,,,,19.9,1.25,,,,,
1783,和康生,市,,,,,,,,,,,,,26.4,3.09,,,,,
1786,科妍,市,,,,,,,,,,,,,29.1,3.53,,,,,
1789,神隆,市,,,,,,,,,,,,,46.2,1.78,,,,,
1795,美時,市,,,,,,,,,,,,,16.9,3.67,,,,,
1802,台玻,市,,,,,,,,,,,,,,1.16,,,,,
1805,寶徠,市,,,,,,,,,,,,,110,1.93,,,,,
1806,冠軍,市,,,,,,,,,,,,,46.8,0.72,,,,,
1808,潤隆,市,,,,,,,,,,,,,10.5,1.24,,,,,
1809,中釉,市,,,,,,,,,,,,,96.4,1.21,,,,,
1810,和成,市,,,,,,,,,,,,,55.8,0.77,,,,,
