代號,名稱,市場,,,,,,,,,,,,,PER,PBR,1個月走勢圖,3個月走勢圖,1年走勢圖,3年走勢圖,10年走勢圖
4160,訊聯基因,櫃,,,,,,,,,,,,,38.2,3.89,,,,,
4161,聿新科,櫃,,,,,,,,,,,,,17.8,2.11,,,,,
4162,智擎,櫃,,,,,,,,,,,,,36.2,3.37,,,,,
4163,鐿鈦,櫃,,,,,,,,,,,,,26.8,2.23,,,,,
4167,松瑞藥,櫃,,,,,,,,,,,,,36.1,1.88,,,,,
4168,醣聯,櫃,,,,,,,,,,,,,,2.41,,,,,
4171,瑞基,櫃,,,,,,,,,,,,,,2.21,,,,,
4173,久裕,櫃,,,,,,,,,,,,,17.3,0.84,,,,,
4174,浩鼎,櫃,,,,,,,,,,,,,,6,,,,,
4175,杏一,櫃,,,,,,,,,,,,,125,2.04,,,,,
4183,福永生技,櫃,,,,,,,,,,,,,17.9,1.72,,,,,
4188,安克,櫃,,,,,,,,,,,,,,2.49,,,,,
4192,杏國,櫃,,,,,,,,,,,,,3560,4.01,,,,,
4198,欣大健康,櫃,,,,,,,,,,,,,7.08,2.9,,,,,
4205,中華食,櫃,,,,,,,,,,,,,21.2,3.95,,,,,
4207,環泰,櫃,,,,,,,,,,,,,15.6,1.2,,,,,
4303,信立,櫃,,,,,,,,,,,,,11.2,2.85,,,,,
4304,勝昱,櫃,,,,,,,,,,,,,,5.89,,,,,
4305,世坤,櫃,,,,,,,,,,,,,13.1,2.02,,,,,
4401,東隆興,櫃,,,,,,,,,,,,,38.1,1.04,,,,,
4402,郡都開發,櫃,,,,,,,,,,,,,,3.2,,,,,
4406,新昕纖,櫃,,,,,,,,,,,,,,0.97,,,,,
4413,飛寶企業,櫃,,,,,,,,,,,,,,1.69,,,,,
4416,三圓,櫃,,,,,,,,,,,,,743,2.97,,,,,
